user,text
infobdg,Berburu Baju Hangat di Sentra Rajut Binong Jati https://t.co/siD4blBI5m #fashionBDG https://t.co/APPQnYNWAe
WOWFAKTA,https://t.co/pBcxUaPObJ [#wowfakta] Faktagram hari ini #fakta #faktanya #mostpopular via instagram https://t.co/avaqkqSUIt
