user,text
GNFI,"b'Tiket early bird 50K dan OTS 65K termasuk seminar kit, sertifikat, lunch, dan snack. Info: https://t.co/b8EcpWX6yM\xe2\x80\xa6 https://t.co/b6cLmZCmN6'"
Footy_Jokes,b'Lionel Messi has made shocking remarks about Man United. They will hate him for this! https://t.co/BFS0kwUMKt https://t.co/EXX3Q6evaf'
